Lat,Lng,City,Humidity,Max Temp,Cloudiness,Wind Speed,Country,Date
39.8212,45.0406,zangakatun,55,12.84,97,2.15,AM,1666108246
16.3333,-15,saint-louis,24,38.8,4,1.78,SN,1666108247
35.4495,-97.3967,midwest city,33,9.12,75,6.17,US,1666108247
54.1121,13.0405,grimmen,75,16.1,26,5.54,DE,1666108249
-33.9258,18.4232,cape town,71,20.61,0,9.26,ZA,1666108250
58.2093,-6.3865,stornoway,79,12.18,20,3.09,GB,1666108251
-4.2,36.9333,naberera,54,21.12,94,6.38,TZ,1666108252
70.6333,147.9167,chokurdakh,98,-14.63,94,3.02,RU,1666108253
48.035,27.8161,drochia,30,13.39,73,3.46,MD,1666108253
62.2266,-6.589,klaksvik,65,6.51,99,4.24,FO,1666108254
-6.8844,112.2051,labuhan,88,25.24,100,2.74,ID,1666108254
19.9333,-105.25,tomatlan,71,28.05,93,0.58,MX,1666108255
70.4692,-68.5914,clyde river,93,-5.87,100,9.77,CA,1666108255
-21.6403,-41.0511,sao joao da barra,75,29.05,60,7.15,BR,1666108256
51.3813,1.3862,margate,76,16.84,3,1.34,GB,1666108256
-41.8697,-73.8203,ancud,70,14.75,11,2.68,CL,1666108257
35.042,-89.6645,collierville,47,7.11,0,5.66,US,1666108151
22.0752,-159.319,kapaa,84,22.99,0,3.6,US,1666108257
2.0371,45.3438,mogadishu,83,25.67,13,6.45,SO,1666108258
41.5946,44.0891,tsalka,95,9.6,47,1.73,GE,1666108259
-27.1833,151.2667,dalby,80,16.66,100,4.26,AU,1666108259
-42.8794,147.3294,hobart,68,11.92,8,6.69,AU,1666108143
73.5069,80.5464,dikson,75,-1.34,100,7.28,RU,1666108260
19.7297,-155.09,hilo,83,26.27,0,2.57,US,1666108260
3.3333,20.8833,businga,87,24.82,99,0.97,CD,1666108261
46.6166,10.7002,lasa,68,23.49,11,2.01,IT,1666108019
-21.2,-175.2,vaini,100,23.09,20,2.57,TO,1666108262
4.9333,-52.3333,cayenne,58,32.02,75,5.14,GF,1666108014
61.6864,53.6902,ust-kulom,88,4.3,86,2.85,RU,1666108263
66.4167,112.4,udachnyy,85,-8.08,100,2.19,RU,1666108263
-33.0153,27.9116,east london,88,21.52,40,4.63,ZA,1666108265
-33.65,115.3333,busselton,92,11.67,6,3.95,AU,1666108265
-8.9266,125.4092,airai,93,17.08,100,0.28,TL,1666108266
63.8424,-22.4338,grindavik,70,7.26,75,6.17,IS,1666108267
71.2906,-156.7887,barrow,80,-3.99,100,4.63,US,1666108163
25.4833,80.3333,banda,52,24.62,0,2.68,IN,1666108268
-9.8,-139.0333,atuona,69,24.69,1,7.05,PF,1666108268
-34.4187,19.2345,hermanus,80,21.56,9,6.07,ZA,1666108269
-38.0023,-57.5575,mar del plata,83,16.64,40,8.05,AR,1666108267
-17.7125,-39.2481,caravelas,64,26.69,94,4.14,BR,1666108272
-34.7333,135.8667,port lincoln,88,15.02,83,5.2,AU,1666108273
-34.5322,20.0403,bredasdorp,75,19.14,6,6.01,ZA,1666108273
-6.1761,143.6513,mendi,97,12.22,100,1.45,PG,1666108274
-11.0267,-68.7692,cobija,83,27.1,100,1.54,BO,1666108274
49.1667,-57.4316,deer lake,94,11.92,100,1.03,CA,1666108275
30.3333,10.85,nalut,27,25.41,0,5.11,LY,1666108275
71.9167,114.0833,saskylakh,97,-12.18,95,3.34,RU,1666108276
69.4058,86.1778,dudinka,96,-0.21,100,8.24,RU,1666108276
50.086,16.4674,zamberk,73,16.79,89,1.12,CZ,1666108277
-24.2511,-49.7058,jaguariaiva,81,18.69,100,2.57,BR,1666108277
57.1437,-2.0981,aberdeen,78,11.41,40,3.6,GB,1666107988
-20.4081,57.7,mahebourg,68,22.16,75,3.6,MU,1666108278
56.1667,91.8167,kedrovyy,95,3.26,97,2.95,RU,1666108280
21.3469,-158.0858,makakilo city,81,21.66,0,2.57,US,1666108282
53.1667,63.5833,qostanay,70,3.16,0,6,KZ,1666108282
-33.8667,121.9,esperance,87,11.24,0,4.56,AU,1666108282
32.767,22.6367,darnah,73,20.86,50,7.2,LY,1666108283
64.3833,-173.3,provideniya,76,-4.14,26,1.15,RU,1666108283
-31.2503,-61.4867,rafaela,42,21.1,100,1.79,AR,1666108109
-21.3585,55.7679,saint-philippe,76,22.77,37,4.08,RE,1666108284
32.6667,-17.1,ponta do sol,69,26.51,69,3.91,PT,1666108284
50.7214,136.6319,solnechnyy,60,0.06,1,3.94,RU,1666108285
37.1041,-113.5841,saint george,44,13.33,0,1.54,US,1666108286
52.0324,23.1165,alba,69,16.31,100,2.59,PL,1666108287
59.7,150.1667,arman,49,-4.99,100,4.64,RU,1666108290
5.6667,73,ugoofaaru,80,26.95,100,8.28,MV,1666108290
3.0707,172.7902,butaritari,77,27.47,100,6.02,KI,1666108291
10.5669,72.642,kavaratti,78,27.12,100,7,IN,1666108292
38.9342,100.4517,zhangye,16,11.11,0,1.67,CN,1666108292
29.9576,122.298,shenjiamen,59,16.43,1,7.4,CN,1666108292
-2.9248,-39.9167,itarema,54,31.07,14,9.48,BR,1666108293
8.5711,81.2335,trincomalee,82,26.66,100,6.96,LK,1666108294
-24.7911,-50.0119,castro,88,17.07,100,3.64,BR,1666108294
50.2441,127.4902,heihe,49,2.32,3,3.14,CN,1666108295
-51.6226,-69.2181,rio gallegos,26,20.03,75,8.23,AR,1666108296
-16.5382,28.7088,siavonga,32,31.47,71,1.58,ZM,1666108296
-46.6,168.3333,bluff,76,8.32,100,7.41,NZ,1666108297
-14.7972,-57.2881,nova olimpia,21,40.11,93,1.65,BR,1666108147
42.4167,-4.5,palencia,30,24.4,40,8.66,ES,1666108219
-23.865,35.3833,inhambane,65,26.99,40,5.81,MZ,1666108299
63.7506,-68.5145,iqaluit,79,-4.15,75,6.71,CA,1666108300
-37.6167,-73.65,lebu,72,14.7,56,3.57,CL,1666108300
8.9242,-67.4293,calabozo,75,28.66,80,2.61,VE,1666108301
14.8961,-24.4956,sao filipe,78,26.87,46,3.71,CV,1666108301
47.6666,-52.7314,torbay,95,14.59,100,3.6,CA,1666108302
-2.5744,150.7967,kavieng,71,27.67,100,7.28,PG,1666108303
24.1614,115.1328,yidu,27,19.73,99,2.78,CN,1666108303
37.6775,-113.0619,cedar city,49,14.11,0,0,US,1666108304
22.2855,114.1577,victoria,77,20.14,100,6.71,HK,1666108269
-16.4833,-151.75,faanui,78,25.07,50,7.24,PF,1666108305
-22.9661,-42.0278,arraial do cabo,74,27.98,75,7.2,BR,1666108175
-0.6,73.0833,hithadhoo,69,27.51,100,1.56,MV,1666108307
-33.5906,26.891,port alfred,87,20.1,100,4.31,ZA,1666108308
30.3,108.85,lichuan,77,9.72,0,1.1,CN,1666108308
69.4865,88.3972,talnakh,99,-0.44,100,5.81,RU,1666108309
57.0294,29.3338,novorzhev,90,9.22,100,2.23,RU,1666108309
-8.4333,114.3333,muncar,96,23.87,100,0.69,ID,1666108310
22.9,84.15,jashpurnagar,87,19.6,14,1.17,IN,1666108311
-33.6971,-53.4616,chuy,71,18.12,100,7.39,UY,1666108311
51.3735,31.6466,kulykivka,62,13.2,97,4.6,UA,1666108312
37.4636,-122.4286,half moon bay,86,19.71,0,0,US,1666108312
12.7857,-85.1227,bocana de paiwas,81,26.99,99,1.83,NI,1666108313
-4.2714,-81.2147,el alto,68,18.81,97,5.21,PE,1666108313
57.0531,-135.33,sitka,82,12.94,100,5.14,US,1666108314
-53.15,-70.9167,punta arenas,62,13.06,75,14.4,CL,1666108132
43.5945,-83.8889,bay city,89,4.18,100,7.72,US,1666108024
46.6806,113.2792,baruun-urt,22,2.25,95,4.99,MN,1666108315
-3.6954,128.1814,ambon,83,26.08,20,1.54,ID,1666108315
-36.0333,146.3833,corowa,92,10.79,23,2.2,AU,1666108316
-33.918,25.5701,port elizabeth,83,24.5,20,4.63,ZA,1666108304
14.5094,-92.1933,ocos,86,26.56,100,5.18,GT,1666108317
5.4112,100.3354,georgetown,89,28.86,40,1.54,MY,1666108133
69.4541,-133.0374,tuktoyaktuk,93,-2,100,5.14,CA,1666108318
30.1669,-96.3977,brenham,40,14.47,0,3.09,US,1666108319
39.3558,-9.3811,peniche,89,22.82,84,8.69,PT,1666108321
27.5833,91.8667,tawang,77,4.36,3,2.41,IN,1666108321
34.8791,-76.9013,havelock,69,17.99,100,6.17,US,1666108322
55.7062,58.9549,novobelokatay,93,3.49,100,6.03,RU,1666108322
28.5004,-13.8627,puerto del rosario,73,24.86,0,4.63,ES,1666108035
-37.8333,140.7667,mount gambier,91,10.65,7,1.3,AU,1666108323
63.0565,9.2124,rindal,94,4.36,95,2.47,NO,1666108324
43.2165,-123.3417,roseburg,82,12.84,100,0,US,1666108229
-35.1,173.7833,kaeo,94,7.96,62,2.17,NZ,1666108325
-0.9131,122.8766,biak,88,25.18,100,0.81,ID,1666108326
20.8947,-156.47,kahului,60,23.8,0,3.09,US,1666108246
65.5833,-171,lavrentiya,75,-4.78,3,1.76,RU,1666108328
5.8933,95.3214,sabang,81,27,99,9.99,ID,1666108330
66.1451,-65.7125,pangnirtung,63,-4,40,4.63,CA,1666108330
12.1694,-83.0418,corn island,74,28.07,85,3.44,NI,1666108331
-17.5333,146.0333,innisfail,74,24.83,87,1.53,AU,1666108331
48.0448,40.045,almaznyy,47,10.39,15,3.44,RU,1666108332
-28.7667,114.6,geraldton,88,13.23,0,2.57,AU,1666108332
-4.352,152.2633,kokopo,75,25.49,60,0.38,PG,1666108333
62.456,-114.3525,yellowknife,87,4.29,75,5.14,CA,1666108333
-13.275,-50.1628,sao miguel do araguaia,13,40.09,33,3.87,BR,1666108241
-15.8631,-38.8828,belmonte,65,26.92,70,4.36,BR,1666108334
-13.7,-76.2167,pisco,77,17.23,100,3.09,PE,1666108335
-13.2,49.05,ambilobe,62,24.36,46,2.28,MG,1666108335
-9.1667,-60.6333,aripuana,45,33.29,56,2.23,BR,1666108336
-46.2817,169.8464,kaitangata,77,6.48,100,4.2,NZ,1666108336
57.6198,63.0784,lesnoy,74,5.66,100,4.75,RU,1666108337
61.95,159.2333,evensk,85,-5.12,100,13.77,RU,1666108338
22.5667,59.5289,sur,40,27.99,100,0.49,OM,1666108339
55.1001,-105.2842,la ronge,52,5.14,75,2.57,CA,1666108339
-28.1887,23.5395,danielskuil,60,19.41,90,1.96,ZA,1666108341
19.55,-88.6833,chunhuhub,54,31.5,79,1.46,MX,1666108341
33.194,-82.5271,avera,26,12.53,0,4.9,US,1666108342
14.3188,2.0866,ouallam,10,37.24,61,4.17,NE,1666108342
-18.9,-66.7667,challapata,30,14.15,0,5.26,BO,1666108343
64.8945,-23.7142,olafsvik,76,7.01,100,8.16,IS,1666108344
50.2289,-99.4664,neepawa,27,-1.78,32,4.19,CA,1666108344
8.484,-13.2299,freetown,74,29.84,40,4.12,SL,1666108345
64.5011,-165.4064,nome,100,1.04,100,0,US,1666108345
48.0056,91.6419,hovd,39,7.16,100,3.39,MN,1666108346
54.7777,34.3267,ugra,80,13.14,100,4.8,RU,1666108347
72.7868,-56.1549,upernavik,95,-1.11,100,5.17,GL,1666108348
3.8167,117.25,sembakung,99,23.47,99,0.21,ID,1666108349
-18.3667,21.85,shakawe,27,29.22,86,3.76,BW,1666108350
-28.4478,21.2561,upington,19,32.21,20,3.09,ZA,1666108351
-20.9333,29,gwanda,25,27.66,96,3.43,ZW,1666108352
-34.0033,24.7314,kruisfontein,82,18.65,98,4.77,ZA,1666108352
-20.0064,57.6608,grand gaube,65,22.22,47,0.89,MU,1666108353
16.8861,-99.6106,cacahuatepec,91,25.51,100,0.46,MX,1666108353
-5.0892,-81.1144,paita,67,20.56,86,4.81,PE,1666108354
2.1833,22.4667,bumba,70,26.54,65,0.58,CD,1666108354
-9.0122,-35.2225,maragogi,73,26.6,24,5.04,BR,1666108354
59.9445,54.9977,kosa,92,4.57,89,2.88,RU,1666108355
39.05,-27.9833,lagoa,61,16.61,63,12.96,PT,1666108355
37.4725,-4.4421,cabra,30,29.33,100,4.53,ES,1666108356
31.61,34.7642,gat,100,24.38,0,3.69,IL,1666108356
-8.145,159.5921,buala,82,26.74,17,3,SB,1666108357
46.4333,26.4,asau,48,13.51,47,2.08,RO,1666108357
-19.55,169.2667,isangel,88,23.79,33,4.05,VU,1666108358
69.7008,170.3133,pevek,96,-17.36,56,0.91,RU,1666108358
66.0449,-17.3389,husavik,75,3.43,95,4.28,IS,1666108359
57.79,-152.4072,kodiak,81,7.73,100,6.17,US,1666108359
65.75,150.85,zyryanka,93,-14.65,63,7.2,RU,1666108360
-33.0393,-71.6273,valparaiso,79,17.22,20,2.57,CL,1666108207
61.67,96.37,baykit,89,-0.67,82,2.55,RU,1666108361
-9.4431,147.1797,port moresby,94,23.68,40,2.57,PG,1666108361
4.1363,96.1285,meulaboh,88,24.82,100,1.23,ID,1666108362
32.9833,132.9333,nakamura,87,12.53,32,1.84,JP,1666108363
22.7886,100.9748,simao,67,13.08,24,1.42,CN,1666108363
38.421,-121.4238,laguna,79,21.67,0,2.06,US,1666108364
41.3712,-73.414,bethel,54,12.2,20,3.6,US,1666108364
58.6881,99.1844,kodinsk,98,1.19,100,2.49,RU,1666108364
-26.6481,15.1594,luderitz,68,19.26,46,6.95,NA,1666108365
-5.1989,-35.4608,touros,61,29.51,47,8.02,BR,1666108365
55.8652,-4.2576,glasgow,73,13.29,20,5.66,GB,1666108322
-19.0047,-57.6017,ladario,78,28.05,75,3.09,BR,1666108366
37.5128,-8.7071,sao teotonio,60,22.45,31,4.98,PT,1666108367
19.8,85.85,puri,72,28.29,76,4.03,IN,1666108367
3.4651,31.2469,yumbe,84,21.32,83,1.37,UG,1666108367
-2.6833,111.6167,pangkalanbuun,96,23.87,100,0.9,ID,1666108368
60.8156,-115.7999,hay river,58,10.99,40,3.6,CA,1666108369
43.3469,44.6975,verkhniye achaluki,93,11.25,100,2,RU,1666108370
48.7834,-87.1,terrace bay,74,2.61,94,12.02,CA,1666108370
50.2696,85.6108,ust-koksa,91,0.07,80,1.22,RU,1666108371
-0.8833,131.25,sorong,83,27.45,58,5.38,ID,1666108371
78.2186,15.6401,longyearbyen,81,2.91,100,12.35,SJ,1666108372
28.017,-97.5169,san patricio,43,15.92,99,7.82,US,1666108372
7.7669,-72.225,san cristobal,45,22.1,46,0.57,VE,1666108372
60.7253,114.9278,lensk,91,0.63,100,3.72,RU,1666108369
32.9537,-96.8903,carrollton,31,14.63,0,5.66,US,1666108361
65.282,-126.8329,norman wells,100,-2.98,40,2.06,CA,1666108373
0.5738,12.8642,makokou,95,23.32,97,1,GA,1666108374
-9.4167,-76.7833,llata,62,16.97,70,3.69,PE,1666108375
-18.65,-173.9833,neiafu,88,25.38,40,4.63,TO,1666108376
-11.7022,43.2551,moroni,73,26,20,5.14,KM,1666108376
-19.9842,57.6142,cap malheureux,65,20.82,49,0.89,MU,1666108377
-22.9575,14.5053,walvis bay,71,16.72,45,7.35,NA,1666108377
-43.3002,-65.1023,rawson,25,23.74,2,13.52,AR,1666108102
26.95,81.5833,tikaitnagar,59,23.56,0,0.35,IN,1666108378
1.6481,14.5806,sembe,91,24.54,84,0.23,CG,1666108378
41.1231,80.2644,aksu,20,15.37,81,3.23,CN,1666108378
49.417,31.9201,russkaya polyana,32,12.87,10,3.97,UA,1666108380
-31.95,141.4333,broken hill,66,14.58,92,7.37,AU,1666108380
68.75,161.3,cherskiy,100,-21.11,80,2.3,RU,1666108381
53.0533,90.9139,beya,73,4.45,96,4.72,RU,1666108381
7.0167,39.9833,goba,95,9.93,100,0.83,ET,1666108382
52.4411,61.7408,ordzhonikidze,57,6.22,92,5.05,KZ,1666108383
26.6208,-78.2833,high rock,72,28.01,32,6.52,BS,1666108383
61.5996,5.0328,floro,61,9.04,40,6.69,NO,1666108384
7.9868,117.0645,balabac,83,26.96,100,4.28,PH,1666108385
3.1667,113.0333,bintulu,100,25.23,40,0,MY,1666108385
8.8865,2.5975,tchaourou,56,31.43,37,1.28,BJ,1666108386
21.3226,110.5829,zhongshan,72,19.3,100,1.98,CN,1666108386
-20.2078,57.7625,quatre cocos,73,22.06,42,5.33,MU,1666108387
-29.6641,22.7474,prieska,31,27.52,83,3.22,ZA,1666108388
9.2667,76.7833,pathanamthitta,97,25.41,100,1.05,IN,1666108388
-45.8667,-67.5,comodoro rivadavia,24,25.92,0,7.2,AR,1666108389
-2.0833,101.3833,sungaipenuh,95,18.78,100,0.63,ID,1666108389
68.2191,-135.0107,aklavik,93,-4,100,1.54,CA,1666108390
33.0833,-16.3333,camacha,73,22.68,20,7.2,PT,1666108390
55.7435,-97.8558,thompson,60,1.09,40,3.6,CA,1666108392
6.1241,81.1185,hambantota,89,26.19,100,3.09,LK,1666108392
41.5887,-83.8911,swanton,71,6.19,100,9.26,US,1666108393
30.4833,-115.95,san quintin,74,21.2,0,1.37,MX,1666108394
-38.2667,141.9667,codrington,89,10.8,2,2.78,AU,1666108394
49.7834,-74.8492,chapais,90,7.88,100,5.63,CA,1666108395
40.9725,117.9361,chengde,26,5.17,0,0.63,CN,1666108395
45.5234,-122.6762,portland,96,13.69,100,1.34,US,1666108184
62.0989,126.6992,berdigestyakh,99,-5.22,100,1.48,RU,1666108396
-29.9533,-71.3436,coquimbo,72,14.85,20,4.63,CL,1666108397
19.2056,-69.3369,samana,79,30.12,40,0,DO,1666108397
61.2181,-149.9003,anchorage,90,6.78,75,1.54,US,1666108132
64.8378,-147.7164,fairbanks,91,-1.33,100,0,US,1666108256
21.4612,-71.1419,cockburn town,74,28.18,6,5.43,TC,1666108398
25.5198,90.2201,tura,90,20.45,1,1.51,IN,1666108399
29.9697,40.2064,sakakah,18,33.76,78,2.92,SA,1666108106
59.5833,151.2833,ola,48,-4.92,100,8.58,RU,1666108399
35.7333,140.8333,hasaki,75,13.45,99,9.04,JP,1666108400
39.7432,98.5174,jiuquan,15,8.56,39,0.7,CN,1666108400
-46.1333,167.6833,tuatapere,92,4.2,79,2.4,NZ,1666108401
7.0419,134.2556,kloulklubed,75,25.28,100,5.19,PW,1666108401
60.4167,134.5333,ust-maya,98,-10.78,94,1.15,RU,1666108403
-31.5375,-68.5364,san juan,53,18.64,98,4.27,AR,1666108403
-36.8333,175.7,whitianga,84,10.79,3,3.46,NZ,1666108404
14.9215,-23.5087,praia,74,29.3,20,8.75,CV,1666108277
6.5047,4.7839,okitipupa,89,26.38,100,2.39,NG,1666108405
40.3001,-74.1663,monmouth,53,12.85,100,4.12,US,1666108405
12.5847,-81.7006,san andres,70,30.01,40,3.09,CO,1666108406
69.5763,20.2189,lyngseidet,94,3,97,2.48,NO,1666108407
25.5,-76.65,dunmore town,70,28.05,43,5.18,BS,1666108408
41.5627,-8.572,galegos,82,19.8,100,5.76,PT,1666108409
44.7481,132.0403,kamen-rybolov,55,2.69,0,3.62,RU,1666108410
12.9842,37.765,dabat,80,13.56,67,0.79,ET,1666108411
3.1655,-52.3158,camopi,48,32.97,87,1.27,GF,1666108412
29.0331,21.5482,jalu,37,22.33,25,3.89,LY,1666108413
7.9803,49.8164,eyl,76,26.53,53,6.33,SO,1666108413
-39.8142,-73.2459,valdivia,63,21.05,29,2.71,CL,1666108414
57.3064,88.1667,teguldet,96,2.99,100,1.69,RU,1666108414
-3.9014,-38.3911,aquiraz,56,31.92,22,7.5,BR,1666108415
49.9811,92.0667,ulaangom,55,2.92,91,1.6,MN,1666108415
-20.5167,57.5167,souillac,68,22.21,75,3.6,MU,1666108416
-23.7,133.8833,alice springs,63,15.75,0,4.63,AU,1666108416
37.4,140.3833,koriyama,78,10.07,70,1.12,JP,1666108417
35.1894,-114.053,kingman,49,20.07,5,4.02,US,1666108417
64.8569,-147.8028,college,93,-1.34,100,0,US,1666108418
18.4273,-68.9728,la romana,79,30.2,75,5.14,DO,1666108418
-9.0763,143.2092,daru,86,26.35,95,3.4,PG,1666108419
65.8252,21.6886,boden,82,2,57,1.78,SE,1666108420
39.5501,-77.0164,carroll,55,10.36,0,5.14,US,1666108420
70.0167,135.6,ust-kuyga,100,-16.25,100,2.48,RU,1666108421
20.75,-105.3333,bucerias,70,29.43,95,1.6,MX,1666108205
-37.3217,-59.1332,tandil,40,21.63,75,6.1,AR,1666108422
51.064,-0.3272,horsham,72,18.4,0,4.12,GB,1666108422
-22.6667,167.4833,vao,74,21.93,37,6.57,NC,1666108423
13.2167,-59.5167,bathsheba,70,31.34,40,6.17,BB,1666108423
17.0151,54.0924,salalah,59,25.49,7,1.67,OM,1666108424
51.9419,1.2844,harwich,69,17.38,1,3.13,GB,1666108424
-14.2667,50.1667,sambava,79,22.28,8,4.81,MG,1666108424
17.65,83.2667,yarada,89,28.18,40,1.03,IN,1666108425
-15.1961,12.1522,namibe,72,21.65,17,8.44,AO,1666108426
63.8385,23.1307,kokkola,76,6.63,20,2.57,FI,1666108426
69.3833,178.4167,leningradskiy,86,-15.29,14,2.36,RU,1666108426
46.4856,135.8833,vostok,68,-1.97,12,3.1,RU,1666108427
-32.035,-52.0986,rio grande,81,19.06,100,9.72,BR,1666108427
51.1167,133.0167,chegdomyn,78,-3.17,9,1.75,RU,1666108428
69.2167,-51.1,ilulissat,98,1.57,100,1.84,GL,1666108429
40.661,-7.9097,viseu,39,22.7,34,6.13,PT,1666108429
-30.1811,-50.2056,cidreira,91,19.2,100,7.96,BR,1666108430
13.8065,-10.8321,bafoulabe,72,27.25,44,1.8,ML,1666108430
52.1058,-101.2676,swan river,40,0.94,0,2.06,CA,1666108431
-34.4833,-54.3333,rocha,66,18.5,100,7.5,UY,1666108431
-2.1522,-56.0922,juruti,62,30.34,91,1.02,BR,1666108432
21.4022,-157.7394,kailua,89,22.47,1,1.18,US,1666108432
53.3,80.05,verkh-suetka,76,3.39,83,3.26,RU,1666108433
-45.8742,170.5036,dunedin,73,7.67,59,0.89,NZ,1666108434
-20.7333,139.5,mount isa,100,21.87,40,2.57,AU,1666108425
-17.5065,-149.489,mahina,83,23.87,75,1.03,PF,1666108434
50.6665,-120.3192,kamloops,93,2.55,20,2.57,CA,1666108435
27.3167,-112.2833,santa rosalia,56,24.62,0,0.74,MX,1666108436
51.3088,119.61,nerchinskiy zavod,52,-2.98,94,2.63,RU,1666108436
41.8007,-73.1212,torrington,64,11.86,82,0.45,US,1666108437
53.9599,81.2093,krutikha,80,3.72,93,3.77,RU,1666108437
48.6499,-53.1147,bonavista,90,11.86,99,3.43,CA,1666108438
47.4667,84.8667,zaysan,85,5.97,100,2.66,KZ,1666108438
5.6592,-53.7767,mana,64,30.26,99,4.56,GF,1666108439
43.3236,145.575,nemuro,78,7.03,6,5.77,JP,1666108439
3.9366,41.867,mandera,48,30.45,100,2.94,KE,1666108440
9.4667,12.0333,numan,40,32.85,100,1.09,NG,1666108440
35.5392,106.6861,pingliang,64,9.58,48,2.2,CN,1666108441
-33.0117,17.9442,saldanha,86,22.03,48,10.3,ZA,1666108441
53.0452,158.6483,petropavlovsk-kamchatskiy,52,3.33,20,5,RU,1666108442
-20.3297,-40.2925,vila velha,75,28.97,40,7.72,BR,1666108442
-3.8004,102.2655,bengkulu,90,24.34,100,1.8,ID,1666108381
-9.4333,159.95,honiara,85,24.83,45,2.39,SB,1666108443
-12.974,40.5178,pemba,76,25.03,0,6.33,MZ,1666108444
-35.1667,173.1667,ahipara,73,12.53,37,4.64,NZ,1666108445
33.7333,135.9833,shingu,79,13.03,5,2.67,JP,1666108446
41.7597,86.1469,korla,19,13.51,27,1.37,CN,1666108447
38.7726,48.4128,lerik,95,9.8,100,0.95,AZ,1666108447
-17.8786,36.8883,quelimane,75,24.99,1,3.6,MZ,1666108448
50.806,30.1376,katyuzhanka,58,13.34,66,4.13,UA,1666108448
25.65,77.9,narwar,55,22.35,0,1.29,IN,1666108449
50.6996,-127.4199,port hardy,93,11.1,40,1.54,CA,1666108449
51.1631,54.9918,sol-iletsk,65,6.21,99,3.85,RU,1666108450
4.423,-7.3528,tabou,77,26.86,68,3.03,CI,1666108450
45.0205,-93.218,saint anthony,61,0.14,0,1.79,US,1666108451
67.45,153.6833,srednekolymsk,98,-18.6,66,3.81,RU,1666108451
59.6425,-151.5483,homer,87,5.98,100,3.6,US,1666108312
55.9029,-3.5226,livingston,82,11.58,40,4.12,GB,1666108161
-12.0432,-77.0282,lima,79,18.28,100,2.57,PE,1666108323
-43.5333,172.6333,christchurch,95,6.06,100,0.51,NZ,1666108410
-22.2167,30,beitbridge,22,32.1,70,7.41,ZW,1666108454
61.8106,51.5806,kortkeros,84,4,100,3.93,RU,1666108454
-20.3167,118.5667,port hedland,73,21.03,0,3.09,AU,1666108455
40.5982,-124.1573,fortuna,100,10.51,0,3.09,US,1666108456
17.0818,122.4157,dicabisagan,88,25.56,100,2.02,PH,1666108456
54.7804,-127.1743,smithers,93,5.18,40,2.57,CA,1666108321
59.6289,112.7406,peleduy,98,1.58,100,4.04,RU,1666108457
-25.2406,130.9889,yulara,57,17.3,0,5.62,AU,1666108458
-20.7833,117.1333,roebourne,65,23.48,0,2.95,AU,1666108458
56.115,47.718,mariinskiy posad,87,7.52,100,5.25,RU,1666108459
-3.432,10.6554,mayumba,79,26.24,69,4.93,GA,1666108460
20.5022,-10.0711,adrar,8,36.92,63,4.93,MR,1666108460
11.6667,92.75,port blair,89,26.02,75,0,IN,1666108462
40.4272,71.7189,komsomolskiy,77,14.4,75,2.06,UZ,1666108463
38.5167,-28.7,ribeira grande,48,19.22,20,8.75,PT,1666108463
68.8193,-51.1922,qasigiannguit,99,1.59,100,1.4,GL,1666108464
26.326,43.975,buraydah,11,31.25,100,1.13,SA,1666108464
-0.7193,8.7815,port-gentil,79,28.98,40,7.72,GA,1666108465
